date,description,amount,type
2025-01-02,Salary Deposit from Acme Corp,12500.00,credit
2025-01-03,Office Rent - Q1,4500.00,debit
2025-01-05,AWS Cloud Subscription,1200.00,debit
2025-01-07,Client Payment - Invoice #1042,8750.00,credit
2025-01-10,Employee Payroll - January,15000.00,debit
2025-01-12,Electric Utility Bill,320.00,debit
2025-01-14,Internet Service Provider,150.00,debit
2025-01-15,Google Ads Campaign,2400.00,debit
2025-01-17,Insurance Premium - Q1,1800.00,debit
2025-01-18,Client Payment - Invoice #1043,6200.00,credit
2025-01-20,Office Supplies - Staples,475.00,debit
2025-01-22,Uber Business Travel,230.00,debit
2025-01-23,Revenue - Partner Commission,3400.00,credit
2025-01-25,Software License - Figma,180.00,debit
2025-01-27,Tax Payment - Quarterly Estimate,5200.00,debit
2025-01-28,Client Payment - Invoice #1044,11000.00,credit
2025-01-30,Marketing Campaign - Social Media,1650.00,debit
2025-02-01,Salary Deposit from Acme Corp,12500.00,credit
2025-02-03,Office Rent - February,4500.00,debit
2025-02-05,Employee Payroll - February,15000.00,debit
2025-02-07,Client Payment - Invoice #1045,9300.00,credit
2025-02-10,Water Utility Bill,95.00,debit
2025-02-12,Phone Service - T-Mobile,280.00,debit
2025-02-14,Hotel - Business Trip NYC,890.00,debit
2025-02-15,Revenue - Consulting Fee,7500.00,credit
2025-02-18,Equipment Purchase - Monitors,1400.00,debit
2025-02-20,Slack Subscription,65.00,debit
2025-02-22,Client Payment - Invoice #1046,5800.00,credit
2025-02-25,IRS Quarterly Tax Payment,5200.00,debit
2025-02-28,Flight - SFO to NYC,620.00,debit
